datetime,PM2_5,PM10,NOx,CO,SO2,Ozone,NOx_SubIndex,SO2_SubIndex,AQI_calculated,PM2_5_24_avg,CO_8_avg_avg,PM2_5_24_avg_Sub_Index,CO_8_avg_Sub_Index,AQI_Bucket,station
2023-02-15,53.49519675925926,95.42862268518519,74.45981527777776,1033.0555555555557,20.718865740740743,29.881365740740744,89.58333333333333,25.930555555555557,118.79166666666667,53.34241367669753,1037.4059606481483,104.70833333333333,51.90277777777778,Satisfactory,alandur
2023-02-16,57.84358796296297,105.68081018518518,72.39268564814815,938.125,15.130243055555557,22.964062499999997,85.84722222222223,18.875,125.45833333333333,56.7133415316358,991.8214699074074,114.97222222222223,49.625,Satisfactory,alandur
2023-02-17,63.31170138888889,102.49523148148148,68.24924398148147,890.7060185185186,14.21107638888889,21.565127314814813,81.36111111111111,17.77777777777778,143.44444444444446,64.3341121720679,888.9742476851852,133.25,44.47222222222222,Satisfactory,alandur
2023-02-18,57.35300925925927,102.41418981481482,76.06114444444444,911.9907407407406,14.085983796296297,16.73210648148148,88.83333333333333,17.625,146.44444444444446,61.00811390817901,877.4565972222222,131.59722222222223,43.861111111111114,Satisfactory,alandur
2023-02-19,41.155011574074074,75.66358796296296,52.7197912037037,889.2361111111111,14.885891203703702,16.30650462962963,64.13888888888889,18.583333333333332,109.20833333333333,47.54448832947531,892.7748842592592,96.25,44.56944444444444,Satisfactory,alandur
2023-02-20,38.023148148148145,74.21863425925926,64.18148101851851,916.5046296296296,14.003761574074074,18.625324074074072,77.76388888888889,17.458333333333332,98.76388888888889,38.476531635802466,904.9913194444445,73.73611111111111,45.263888888888886,Satisfactory,alandur
2023-02-21,41.70623842592593,88.32314814814815,72.77408194444445,939.5486111111111,14.54866898148148,25.038981481481482,86.79166666666667,18.15277777777778,109.36111111111111,39.057545331790124,957.4696180555555,76.41666666666667,47.84722222222222,Satisfactory,alandur
2023-02-22,44.88206018518518,93.43517361111111,66.36582777777778,948.5069444444445,14.872719907407408,26.076898148148146,80.36111111111111,18.5,105.68055555555556,39.58342930169753,918.6574074074074,77.15277777777777,45.90277777777778,Moderate,alandur
2023-02-23,46.36744212962963,93.94105324074074,61.161731018518516,938.3101851851851,12.891354166666666,21.75855324074074,74.06944444444444,15.902777777777779,114.48611111111111,48.64979600694445,966.4858217592594,97.33333333333333,48.34722222222222,Satisfactory,alandur
2023-02-24,34.286828703703705,75.87253472222223,59.517166203703695,1032.0833333333333,12.621967592592592,17.861435185185186,72.68055555555556,15.583333333333334,89.36111111111111,39.835415219907404,1029.8625578703704,70.22222222222223,51.52777777777778,Satisfactory,alandur
