Datetime,AQI
2022-03-08,56.0
2022-03-09,57.0
2022-03-10,58.0
2022-03-11,56.0
2022-03-12,57.0
2022-03-13,57.0
2022-03-14,58.0
2022-03-15,59.0
2022-03-16,66.0
2022-03-17,77.0
2022-03-18,67.0
2022-03-19,61.0
2022-03-20,60.0
2022-03-21,58.0
2022-03-22,60.0
2022-03-23,58.0
2022-03-24,56.0
2022-03-25,53.0
2022-03-26,52.0
2022-03-27,54.0
2022-03-28,53.0
2022-03-29,52.0
2022-03-30,52.0
2022-03-31,51.0
2022-04-01,51.0
2022-04-02,54.0
2022-04-03,59.0
2022-04-04,53.0
2022-04-05,57.0
2022-04-06,46.0
2022-04-07,43.0
2022-04-08,43.0
2022-04-09,52.0
2022-04-10,51.0
2022-04-11,47.0
2022-04-12,47.0
2022-04-13,45.0
2022-04-14,46.0
2022-04-15,45.0
2022-04-16,50.0
2022-04-17,78.0
2022-04-18,52.0
2022-04-19,46.0
2022-04-20,43.0
2022-04-21,46.0
2022-04-22,61.0
2022-04-23,56.0
2022-04-24,55.0
2022-04-25,66.0
2022-04-26,71.0
2022-04-27,70.0
2022-04-28,64.0
2022-04-29,69.0
2022-04-30,161.0
2022-05-01,102.0
2022-05-02,134.0
2022-05-03,65.0
2022-05-04,57.0
2022-05-05,73.0
2022-05-06,66.0
2022-05-07,68.0
2022-05-08,86.0
2022-05-09,84.0
2022-05-10,91.0
2022-05-11,70.0
2022-05-12,64.0
2022-05-13,63.0
2022-05-14,72.0
2022-05-15,84.0
2022-05-16,78.0
2022-05-17,60.0
2022-05-18,57.0
2022-05-19,59.0
2022-05-20,60.0
2022-05-21,73.0
2022-05-22,66.0
2022-05-23,60.0
2022-05-24,56.0
2022-05-25,66.0
2022-05-26,73.0
2022-05-27,66.0
2022-05-28,68.0
2022-05-29,67.0
2022-05-30,69.0
2022-05-31,71.0
2022-06-01,71.0
2022-06-02,71.0
2022-06-03,73.0
2022-06-04,136.0
2022-06-05,162.0
2022-06-06,153.0
2022-06-07,92.0
2022-06-08,78.0
2022-06-09,77.0
2022-06-10,82.0
2022-06-11,82.0
2022-06-12,73.0
2022-06-13,68.0
2022-06-14,64.0
2022-06-15,65.0
2022-06-16,60.0
2022-06-17,69.0
2022-06-18,67.0
2022-06-19,65.0
2022-06-20,73.0
2022-06-21,83.0
2022-06-22,154.0
2022-06-23,137.0
2022-06-24,85.0
2022-06-25,84.0
2022-06-26,68.0
2022-06-27,65.0
2022-06-28,81.0
2022-06-29,98.0
2022-06-30,77.0
2022-07-01,78.0
2022-07-02,77.0
2022-07-03,74.0
2022-07-04,88.0
2022-07-05,82.0
2022-07-06,101.0
2022-07-07,97.0
2022-07-08,86.0
2022-07-09,84.0
2022-07-10,78.0
2022-07-11,209.0
2022-07-12,153.0
2022-07-13,83.0
2022-07-14,80.0
2022-07-15,81.0
2022-07-16,90.0
2022-07-17,77.0
2022-07-18,89.0
2022-07-19,87.0
2022-07-20,81.0
2022-07-21,68.0
2022-07-22,81.0
2022-07-23,74.0
2022-07-24,79.0
2022-07-25,86.0
2022-07-26,80.0
2022-07-27,81.0
2022-07-28,68.0
2022-07-29,77.0
2022-07-30,75.0
2022-07-31,79.0
2022-08-01,76.0
2022-08-02,76.0
2022-08-03,84.0
2022-08-04,78.0
2022-08-05,80.0
2022-08-06,79.0
2022-08-07,81.0
2022-08-08,73.0
2022-08-09,72.0
2022-08-10,68.0
2022-08-11,74.0
2022-08-12,73.0
2022-08-13,64.0
2022-08-14,70.0
2022-08-15,63.0
2022-08-16,61.0
2022-08-17,79.0
2022-08-18,73.0
2022-08-19,71.0
2022-08-20,76.0
2022-08-21,70.0
2022-08-22,64.0
2022-08-23,72.0
2022-08-24,76.0
2022-08-25,85.0
2022-08-26,81.0
2022-08-27,80.0
2022-08-28,81.0
2022-08-29,69.0
2022-08-30,109.0
2022-08-31,227.0
2022-09-01,205.0
2022-09-02,79.0
2022-09-03,74.0
2022-09-04,78.0
2022-09-05,72.0
2022-09-06,70.0
2022-09-07,84.0
2022-09-08,94.0
2022-09-09,104.0
2022-09-10,89.0
2022-09-11,82.0
2022-09-12,83.0
2022-09-13,85.0
2022-09-14,78.0
2022-09-15,88.0
2022-09-16,102.0
2022-09-17,83.0
2022-09-18,81.0
2022-09-19,75.0
2022-09-20,86.0
2022-09-21,87.0
2022-09-22,78.0
2022-09-23,79.0
2022-09-24,74.0
2022-09-25,72.0
2022-09-26,86.0
2022-09-27,98.0
2022-09-28,113.0
2022-09-29,103.0
2022-09-30,110.0
2022-10-01,107.0
2022-10-02,116.0
2022-10-03,99.0
2022-10-04,97.0
2022-10-05,109.0
2022-10-06,204.0
2022-10-07,250.0
2022-10-08,168.0
2022-10-09,94.0
2022-10-10,92.0
2022-10-11,92.0
2022-10-12,84.0
2022-10-13,82.0
2022-10-14,80.0
2022-10-15,76.0
2022-10-16,78.0
2022-10-17,88.0
2022-10-18,93.0
2022-10-19,87.0
2022-10-20,98.0
2022-10-21,100.0
2022-10-22,85.0
2022-10-23,124.0
2022-10-24,283.0
2022-10-25,363.0
2022-10-26,185.0
2022-10-27,132.0
2022-10-28,85.0
2022-10-29,91.0
2022-10-30,85.0
2022-10-31,95.0
2022-11-01,96.0
2022-11-02,101.0
2022-11-03,100.0
2022-11-04,102.0
2022-11-05,107.0
2022-11-06,84.0
2022-11-07,153.0
2022-11-08,110.0
2022-11-09,101.0
2022-11-10,101.0
2022-11-11,79.0
2022-11-12,75.0
2022-11-13,79.0
2022-11-14,97.0
2022-11-15,115.0
