AQI,station,datetime
54,"Manali Village, Chennai, Chennai, India",2025-04-01 19:00:00
57,"Manali Village, Chennai, Chennai, India",2025-04-01 20:00:00
66,"Manali Village, Chennai, Chennai, India",2025-04-01 21:00:00
65,"Manali Village, Chennai, Chennai, India",2025-04-01 22:00:00
68,"Manali Village, Chennai, Chennai, India",2025-04-01 23:00:00
80,"Manali Village, Chennai, Chennai, India",2025-04-02 00:00:00
98,"Manali Village, Chennai, Chennai, India",2025-04-02 01:00:00
107,"Manali Village, Chennai, Chennai, India",2025-04-02 02:00:00
98,"Manali Village, Chennai, Chennai, India",2025-04-02 03:00:00
88,"Manali Village, Chennai, Chennai, India",2025-04-02 04:00:00
121,"Manali Village, Chennai, Chennai, India",2025-04-02 07:00:00
158,"Manali Village, Chennai, Chennai, India",2025-04-02 08:00:00
152,"Manali Village, Chennai, Chennai, India",2025-04-02 09:00:00
81,"Manali Village, Chennai, Chennai, India",2025-04-02 10:00:00
38,"Manali Village, Chennai, Chennai, India",2025-04-02 11:00:00
28,"Manali Village, Chennai, Chennai, India",2025-04-02 12:00:00
23,"Manali Village, Chennai, Chennai, India",2025-04-02 13:00:00
23,"Manali Village, Chennai, Chennai, India",2025-04-02 14:00:00
47,"Manali Village, Chennai, Chennai, India",2025-04-02 15:00:00
59,"Manali Village, Chennai, Chennai, India",2025-04-02 16:00:00
72,"Manali Village, Chennai, Chennai, India",2025-04-02 18:00:00
73,"Manali Village, Chennai, Chennai, India",2025-04-02 18:00:00
83,"Manali Village, Chennai, Chennai, India",2025-04-02 19:00:00
26,"Manali Village, Chennai, Chennai, India",2025-04-03 18:00:00
34,"Manali Village, Chennai, Chennai, India",2025-04-03 19:00:00
34,"Manali Village, Chennai, Chennai, India",2025-04-03 19:00:00
34,"Manali Village, Chennai, Chennai, India",2025-04-03 19:00:00
34,"Manali Village, Chennai, Chennai, India",2025-04-03 19:00:00
34,"Manali Village, Chennai, Chennai, India",2025-04-03 19:00:00
56,"Manali Village, Chennai, Chennai, India",2025-04-03 20:00:00
58,"Manali Village, Chennai, Chennai, India",2025-04-03 21:00:00
58,"Manali Village, Chennai, Chennai, India",2025-04-03 22:00:00
64,"Manali Village, Chennai, Chennai, India",2025-04-03 23:00:00
69,"Manali Village, Chennai, Chennai, India",2025-04-04 00:00:00
68,"Manali Village, Chennai, Chennai, India",2025-04-04 01:00:00
66,"Manali Village, Chennai, Chennai, India",2025-04-04 02:00:00
170,"Manali Village, Chennai, Chennai, India",2025-04-04 08:00:00
34,"Manali Village, Chennai, Chennai, India",2025-04-04 09:00:00
14,"Manali Village, Chennai, Chennai, India",2025-04-04 11:00:00
37,"Manali Village, Chennai, Chennai, India",2025-04-04 12:00:00
53,"Manali Village, Chennai, Chennai, India",2025-04-04 13:00:00
57,"Manali Village, Chennai, Chennai, India",2025-04-04 14:00:00
58,"Manali Village, Chennai, Chennai, India",2025-04-04 15:00:00
71,"Manali Village, Chennai, Chennai, India",2025-04-04 16:00:00
83,"Manali Village, Chennai, Chennai, India",2025-04-04 18:00:00
73,"Manali Village, Chennai, Chennai, India",2025-04-04 19:00:00
70,"Manali Village, Chennai, Chennai, India",2025-04-04 20:00:00
62,"Manali Village, Chennai, Chennai, India",2025-04-04 21:00:00
49,"Manali Village, Chennai, Chennai, India",2025-04-04 22:00:00
37,"Manali Village, Chennai, Chennai, India",2025-04-04 23:00:00
53,"Manali Village, Chennai, Chennai, India",2025-04-05 00:00:00
69,"Manali Village, Chennai, Chennai, India",2025-04-05 01:00:00
71,"Manali Village, Chennai, Chennai, India",2025-04-05 02:00:00
70,"Manali Village, Chennai, Chennai, India",2025-04-05 03:00:00
64,"Manali Village, Chennai, Chennai, India",2025-04-05 04:00:00
183,"Manali Village, Chennai, Chennai, India",2025-04-05 07:00:00
169,"Manali Village, Chennai, Chennai, India",2025-04-05 08:00:00
124,"Manali Village, Chennai, Chennai, India",2025-04-05 09:00:00
46,"Manali Village, Chennai, Chennai, India",2025-04-05 10:00:00
93,"Manali Village, Chennai, Chennai, India",2025-04-05 11:00:00
46,"Manali Village, Chennai, Chennai, India",2025-04-05 12:00:00
13,"Manali Village, Chennai, Chennai, India",2025-04-05 14:00:00
13,"Manali Village, Chennai, Chennai, India",2025-04-05 15:00:00
35,"Manali Village, Chennai, Chennai, India",2025-04-05 16:00:00
36,"Manali Village, Chennai, Chennai, India",2025-04-05 17:00:00
37,"Manali Village, Chennai, Chennai, India",2025-04-05 18:00:00
41,"Manali Village, Chennai, Chennai, India",2025-04-05 19:00:00
41,"Manali Village, Chennai, Chennai, India",2025-04-05 20:00:00
47,"Manali Village, Chennai, Chennai, India",2025-04-05 21:00:00
53,"Manali Village, Chennai, Chennai, India",2025-04-05 22:00:00
46,"Manali Village, Chennai, Chennai, India",2025-04-05 23:00:00
29,"Manali Village, Chennai, Chennai, India",2025-04-06 00:00:00
38,"Manali Village, Chennai, Chennai, India",2025-04-06 01:00:00
38,"Manali Village, Chennai, Chennai, India",2025-04-06 02:00:00
